RN,LATITUDE,LONGITUDE,ACCOUNT,REGION,COMPANY,SITE,REPORTING_YEAR,COUNTY,SIC,SIC_DESCRIPTION,CO_TPY,NOX_TPY,Pb_TPY,PM10_TPY,PM2_5_TPY,SO2_TPY,VOC_TPY
RN104992276,33.1223258,-96.74291022,908597A,4,OLDCASTLE MATERIALS TEXAS INC,FRISCO PLANT,2016,COLLIN,2951,PAVING MIXTURES AND BLOCKS,3.448,0.801,0,0.714,0.083,0.534,1.6261
RN102955150,31.62447624,-95.56900299,AA0027U,5,EAGLE RAILCAR SERVICES LP,ELKHART RAILCAR,2016,ANDERSON,4789,"TRANSPORTATION SERVICES, NEC",8.5666,5.0184,0,0.1924,0.1114,0.023,103.9061
RN100222223,31.8259553,-95.8316746,AA0096B,5,LEGACY RESERVES OPERATING LP,BETHEL GAS TREATING FACILITY,2016,ANDERSON,1311,CRUDE PETROLEUM & NATURAL GAS,138.937,29.069,0,1.807,1.807,0.682,4.8347
RN100218684,32.43309086,-102.7974886,AB0012W,7,DCP OPERATING COMPANY  LP,FULLERTON GAS PLANT,2016,ANDREWS,1321,NATURAL GAS LIQUIDS,567.7267,994.5318,0,21.8812,21.8812,651.6608,139.5964
RN100213594,32.34277948,-102.5541584,AB0023R,7,PALMER OF TEXAS TANKS INC,ANDREWS PLANT,2016,ANDREWS,3089,"PLASTICS PRODUCTS, NEC",0,0,0,0.0409,0.0409,0,30.6858
RN101702439,32.42829174,-103.0646158,AB0164V,7,WASTE CONTROL SPECIALISTS INC,ANDREWS WASTE TREATMENT PLANT,2016,ANDREWS,4953,REFUSE SYSTEMS,0.3731,1.6629,0,5.4035,0.8491,0.1173,2.2232
RN101896439,31.33667146,-94.71198222,AC0011N,10,GEORGIA-PACIFIC CHEMICALS LLC,LUFKIN RESIN PLANT,2016,ANGELINA,2821,PLASTICS MATERIALS AND SYNTHETIC RESINS,54.5462,4.0417,0,4.0178,4.0178,0.0361,40.48
RN100221613,31.33534092,-94.73416658,AC0015F,10,LUFKIN INDUSTRIES LLC,LUFKIN FOUNDRY & POWER TRANSMISSION DIVISIONS,2016,ANGELINA,3321,GRAY & DUCTILE IRON FOUNDRIES,11.014,14.088,0,0.6593,0.027,0.0835,21.3928
RN100220110,31.35619461,-94.68257138,AC0017B,10,VERDANT INDUSTRIES LLC,LUFKIN MILL,2016,ANGELINA,2621,PAPER MILLS,0,0,0,0,0,0,0
RN100218270,31.18981198,-94.78773249,AC0018W,10,GEORGIA-PACIFIC WOOD PRODUCTS LLC,DIBOLL COMPLEX,2016,ANGELINA,2493,RECONSTITUTED WOOD PRODUCTS,0,0,0,0,0,0,0
RN100213453,31.28726643,-94.62553804,AC0028T,10,LUFKIN INDUSTRIES LLC,OILFIELD DIVISION,2016,ANGELINA,3441,FABRICATED STRUCTURAL METAL,1.5588,1.8863,0,0.5018,0.5017,0.0112,23.6183
RN100228659,31.2425753,-94.69877281,AC0040G,10,NATURAL GAS PIPELINE CO OF AMERICA LLC,COMPRESSOR STATION 303,2016,ANGELINA,4922,NATURAL GAS TRANSMISSION,119.2744,678.3731,0,5.9433,5.9433,0.0725,21.2359
RN100211143,31.44114089,-94.84518262,AC0051B,10,CLEMSA LUMBER COMPANY,POLLOK LUMBER MILL,2016,ANGELINA,2421,SAWMILLS & PLANING MILLS GENERAL,29.037,10.6469,0.0023,11.6517,7.2714,1.2099,16.8145
RN102582673,31.19524269,-94.78119789,AC0055Q,10,ATLAS ROOFING CORPORATION,FOAM INSULATION BOARD PLANT,2016,ANGELINA,3086,"PLASTICS, FOAM PRODUCTS",0.01,0.047,0,0.136,0,0.003,21.951
RN104725445,31.18210312,-94.79201287,ACA005E,10,GEORGIA PACIFIC WOOD PRODUCTS LLC,GEORGIA PACIFIC DIBOLL LUMBER OPERATIONS,2016,ANGELINA,2436,SOFTWOOD VENEER AND PLYWOOD,1076.5942,174.2006,0.0218,96.9888,53.7226,2.8668,476.0648
RN100226539,28.71509506,-98.46770004,AG0007G,13,SAN MIGUEL ELECTRIC COOPERATIVE INC,SAN MIGUEL ELECTRIC PLANT,2016,ATASCOSA,4911,ELECTRIC SERVICES,1559,2363.2,0.0727,99.9705,69.7376,6814.7,16.2092
RN100220672,29.82484539,-96.13726405,AH0039F,12,ACME BRICK COMPANY,SAN FELIPE,2016,AUSTIN,3251,BRICK AND STRUCTURAL CLAY TILE,57.0816,6.9337,0,8.9395,0.0191,33.7831,11.0533
RN100223551,33.88538374,-103.0110017,BA0064U,2,NATURAL GAS PIPELINE CO OF AMERICA LLC,BOOSTER STATION 168,2016,BAILEY,4922,NATURAL GAS TRANSMISSION,0.5298,1.231,0,0.0621,0.0621,0.0019,1.1679
RN101630481,29.74497717,-99.00525334,BB0005C,13,ENTERPRISE  PRODUCTS  OPERATING  LLC,BANDERA COMPRESSOR STATION,2016,BANDERA,4922,NATURAL GAS TRANSMISSION,67.417,274.468,0,2.909,2.909,0.171,17.968
RN102038486,30.14560766,-97.27080174,BC0015L,11,LOWER COLORADO RIVER AUTHORITY,SIM GIDEON POWER PLANT,2016,BASTROP,4911,ELECTRIC SERVICES,10.6957,365.6487,0.0011,16.0839,16.0568,1.3397,11.522
RN100212034,30.32829967,-97.3377953,BC0018F,11,MERIDIAN BRICK LLC,ELGIN FACILITY,2016,BASTROP,3251,BRICK AND STRUCTURAL CLAY TILE,93.9039,27.7595,0,44.7143,37.4044,141.7029,7.1407
RN100225846,30.32095449,-97.29671025,BC0059O,11,ACME BRICK COMPANY,ELGIN PLANT,2016,BASTROP,3251,BRICK AND STRUCTURAL CLAY TILE,22.9223,19.3595,0,87.2872,0.0721,102.5284,2.1095
RN100723915,30.14438024,-97.2702779,BC0082T,11,GENTEX POWER CORPORATION,LOST PINES 1 POWER PLANT,2016,BASTROP,4911,ELECTRIC SERVICES,109.5122,181.9191,0,44.7433,44.0686,5.5134,6.323
RN101056851,30.17386288,-97.52776827,BC0083R,11,BASTROP ENERGY PARTNERS LP,BASTROP ENERGY CENTER,2016,BASTROP,4911,ELECTRIC SERVICES,19.9522,313.5503,0,36.8834,36.8834,6.1166,26.0296
RN100225408,28.38966651,-97.51724983,BE0026H,14,TRUNKLINE GAS COMPANY LLC,BEEVILLE COMPRESSOR STATION,2016,BEE,4923,GAS TRANSMISSION AND DISTRIBUTION,0,0,0,0,0,0,0.3775
RN100211242,31.12385087,-97.34552597,BF0012H,9,E R CARPENTER LP,CUSHIONING MANUFACTURING TEMPLE DIVISION,2016,BELL,3086,"PLASTICS, FOAM PRODUCTS",3.2023,3.818,0,1.0686,0.3114,0.0229,110.1822
RN100228196,31.12891664,-97.33716164,BF0053Q,9,PACTIV LLC,TEMPLE PLANT,2016,BELL,3086,"PLASTICS, FOAM PRODUCTS",0.724,3.372,0,10.481,0.421,0.035,352.8734
RN100219401,31.07982383,-97.30893353,BF0089S,9,WASTE MANAGEMENT OF NORTH TEXAS,TEMPLE RECYCLING & DISPOSAL FACILITY,2016,BELL,4953,REFUSE SYSTEMS,71.715,15.847,0,34.748,10.488,2.593,6.48
RN100215524,31.05196724,-97.43784003,BF0104B,9,BELCO MANUFACTURING COMPANY INC,BELCO MANUFACTURING,2016,BELL,2221,BROADWOVEN FABRIC MILLS/MAN-MADE FIBER AND SILK,0,0,0,0.936,0.936,0,49.5
RN100215243,31.0718925,-97.5908475,BF0107S,9,AMERICAN ROCKWOOL MANUFACTURING LLC,NOLANVILLE PLANT,2016,BELL,3296,MINERAL WOOL,417.818,3.7102,0,6.34,5.61,30.7015,6.7055
RN100215631,31.1401297,-97.35408709,BF0110G,9,WILSONART LLC,TEMPLE NORTH LAMINATE FACILITY,2016,BELL,3089,"PLASTICS PRODUCTS, NEC",42.512,64.128,0,9.702,3.6436,1.473,51.4088
RN101612083,31.12602028,-97.78972778,BF0129I,9,US DEPT OF THE ARMY,FORT HOOD,2016,BELL,9711,NATIONAL SECURITY,76.9704,25.1645,0.2913,17.9911,13.0561,0.566,11.6279
RN100223254,31.13242417,-97.35255086,BF0139F,9,VIRON INTERNATIONAL CORPORATION,FIBERGLASS SPRAY FACILITY,2016,BELL,5075,WARM AIR HEAT & AIR CONDITIONING,0,0,0,0,0,0,4.65
RN105047450,31.24711233,-97.28166751,BFA001A,9,LIDE INDUSTRIES LLC,TROY FIBERGLASS PLANT,2016,BELL,3089,"PLASTICS PRODUCTS, NEC",0.2026,0.3512,0,0.0221,0.0221,0.0005,5.7589
RN104385869,31.05154881,-97.43647551,BFA004D,9,JONES-BELL LLC,ECS FACILITY,2016,BELL,3089,"PLASTICS PRODUCTS, NEC",0,0,0,0,0,0,9.723
RN100211507,29.53980939,-98.42221086,BG0045E,13,CAPITOL AGGREGATES INC,PORTLAND CEMENT,2016,BEXAR,3241,"CEMENT, HYDRAULIC",495.1281,455.4464,0.0058,96.4881,54.1743,439.2583,76.1737
RN100217975,29.29120597,-98.35637019,BG0057U,13,CITY PUBLIC SERVICE BOARD,CALAVERAS PLANT,2016,BEXAR,4911,ELECTRIC SERVICES,2591.9203,4482.5952,0.1173,315.9896,195.2544,8243.737,50.711
RN100217439,29.3524479,-98.57697096,BG0059Q,13,CITY PUBLIC SERVICE BOARD,LEON CREEK PLANT,2016,BEXAR,4911,ELECTRIC SERVICES,8.315,9.958,0,1.7236,1.7186,2.4532,0.5672
RN100668573,29.21228369,-98.40718784,BG0064A,13,ENTERPRISE HYDROCARBONS LP,SAN MARTIN GAS PLANT,2016,BEXAR,1321,NATURAL GAS LIQUIDS,3.0434,24.8581,0,0.672,0.672,0.231,4.8823
RN100542729,29.37421813,-98.62222938,BG0075S,13,US DEPT OF AIR FORCE,JBSA LACKLAND,2016,BEXAR,9711,NATIONAL SECURITY,35.8311,52.4302,0.0134,21.9243,14.6314,0.6858,20.1735
RN101677003,29.44267835,-98.43597693,BG0083T,13,EXXONMOBIL CORPORATION,SAN ANTONIO TERMINAL,2016,BEXAR,5171,PETROLEUM BULK STATIONS & TERMINALS,0,0,0,0,0,0,14.3155
RN101073013,29.43397075,-98.39745464,BG0098G,13,CITGO PETROLEUM CORPORATION,CITGO SAN ANTONIO TERMINAL,2016,BEXAR,5171,PETROLEUM BULK STATIONS & TERMINALS,0,0,0,0,0,0,18.0047
RN101485183,29.3471571,-98.45878497,BG0103P,13,CALUMET SAN ANTONIO REFINING LLC,PETROLEUM REFINERY,2016,BEXAR,2911,PETROLEUM REFINING,63.646,38.9617,0,4.7339,4.7067,9.8233,122.1035
RN100220094,29.52694283,-98.2837063,BG0170A,13,US DEPT OF AIR FORCE,JBSA RANDOLPH,2016,BEXAR,9711,NATIONAL SECURITY,10.1361,6.7391,0,1.1503,0.9609,0.272,3.4169
RN100217835,29.2725849,-98.37904406,BG0186I,13,CITY PUBLIC SERVICE BOARD,VH BRAUNIG PLANT,2016,BEXAR,4911,ELECTRIC SERVICES,118.41,784.71,0,89.99,89.91,7.01,51.65
RN102301280,29.210884,-98.40633865,BG0210N,13,CALUMET SAN ANTONIO REFINING LLC,ELEMENDORF TERMINAL,2016,BEXAR,5171,PETROLEUM BULK STATIONS & TERMINALS,0,0,0,0,0,0,9.8604
RN100519214,29.46057407,-98.40766658,BG0218U,13,MOTIVA ENTERPRISES LLC,SAN ANTONIO MARKET TERMINAL,2016,BEXAR,5171,PETROLEUM BULK STATIONS & TERMINALS,12.7809,5.1124,0,0.2003,0.2003,0,45.3565
RN100542679,29.43933781,-98.40526204,BG0249J,13,AGGREGATE PLANT PRODUCTS CO,AGGREGATE PLANT PRODUCTS (NOV APPCO),2016,BEXAR,3444,SHEET METAL WORK,0,0,0,0,0,0,0
RN102310901,29.31043433,-98.47414047,BG0253S,13,NUSTAR LOGISTICS LP,SAN ANTONIO SOUTH TERMINAL,2016,BEXAR,5171,PETROLEUM BULK STATIONS & TERMINALS,1.3509,3.3422,0,0,0,0,40.7637
RN100220474,29.61017136,-98.367852,BG0259G,13,ALAMO CEMENT COMPANY,1604 PLANT,2016,BEXAR,3241,"CEMENT, HYDRAULIC",703.2603,2533.3,0.0014,88.8198,31.9317,3.1815,51.9191
